YBR182C	YAL022C	+
YBR182C	YBL001C	-
YBR182C	YBL111C	-
YBR182C	YDR543C	+
YBR182C	YDR544C	-
YBR182C	YEL001C	+
YBR182C	YEL040W	+
YBR182C	YGL261C	+
YBR182C	YGR282C	+
YBR182C	YHL027W	-
YBR182C	YHR080C	-
YBR182C	YHR081W	-
YBR182C	YHR091C	+
YBR182C	YHR193C	-
YBR182C	YHR194W	+
YBR182C	YIL002WA	-
YBR182C	YIR020C	-
YBR182C	YIR021W	-
YBR182C	YJR044C	+
YBR182C	YKL096W	-
YBR182C	YKL163W	-
YBR182C	YKL185W	+
YBR182C	YKR102W	-
YBR182C	YKR105C	+
YBR182C	YKR106W	+
YBR182C	YLR390W	+
YBR182C	YLR463C	+
YBR182C	YLR465C	+
YBR182C	YLR467W	-
YBR182C	YMR013WA	-
YBR182C	YNL288W	-
YBR182C	YNL337W	-
YBR182C	YNL338W	+
YBR182C	YNL339C	-
YBR182C	YOL121C	+
YBR182C	YOR138C	-
YBR182C	YOR140W	-
YBR182C	YOR178C	+
YBR182C	YPL018W	+
YBR182C	YPL198W	-
YBR182C	YPL253C	+
YBR182C	YPR124W	+
YBR182C	YPR198W	-
YBR297W	YAL022C	+
YBR297W	YBR204C	+
YBR297W	YBR298C	-
YBR297W	YCR107W	+
YBR297W	YDR052C	-
YBR297W	YER134C	+
YBR297W	YER190W	-
YBR297W	YFL066C	-
YBR297W	YFR017C	+
YBR297W	YGL227W	+
YBR297W	YHL028W	-
YBR297W	YHL029C	-
YBR297W	YHR041C	+
YBR297W	YIL101C	-
YBR297W	YJL067W	+
YBR297W	YJL068C	-
YBR297W	YJR044C	-
YBR297W	YLR439W	-
YBR297W	YMR135WA	-
YBR297W	YPL253C	+
YCL066W	STA2	+
YCL066W	YGL089C	+
YCL066W	YIL099W	+
YCL066W	YKL178C	+
YCL066W	YPL187W	-
YCL067C	YCL066W	+
YCL067C	YDR103W	+
YCL067C	YGL089C	+
YCL067C	YGR044C	+
YCL067C	YKL209C	+
YCL067C	YPL187W	+
YCR018C	YBR167C	+
YCR018C	YFR017C	+
YCR018C	YPL253C	+
YCR040W	YGL089C	+
YCR040W	YKL178C	+
YCR040W	YPL187W	+
YCR096C	YCR039C	-
YCR096C	YCR040W	-
YCR096C	YKL178C	-
YCR096C	YKL209C	-
YCR097W	STA2	-
YCR097W	YCL066W	+
YCR097W	YCR039C	-
YCR097W	YCR040W	-
YCR097W	YDR103W	+
YCR097W	YGR044C	-
YCR097W	YKL178C	-
YDL170W	YBL111C	+
YDL170W	YBR102C	-
YDL170W	YBR103W	+
YDL170W	YCR019W	+
YDL170W	YCR039C	-
YDL170W	YCR040W	+
YDL170W	YCR041W	-
YDL170W	YDL068W	-
YDL170W	YDL071C	-
YDL170W	YDL154W	+
YDL170W	YDR084C	-
YDL170W	YDR210WD	+
YDL170W	YDR282C	-
YDL170W	YDR544C	+
YDL170W	YER190W	+
YDL170W	YGL001C	+
YDL170W	YHR091C	+
YDL170W	YHR156C	+
YDL170W	YHR157W	+
YDL170W	YJR044C	+
YDL170W	YKR102W	+
YDL170W	YLR463C	-
YDL170W	YLR465C	+
YDL170W	YLR467W	-
YDL170W	YMR193W	-
YDL170W	YNL337W	+
